country,total_games,total_wins,win_percent
Abkhazia,28,12,42.857142857142854
Afghanistan,106,29,27.358490566037734
Albania,330,84,25.454545454545453
Alderney,19,3,15.789473684210526
Algeria,503,212,42.14711729622266
American Samoa,48,5,10.416666666666668
Andalusia,13,8,61.53846153846154
Andorra,162,6,3.7037037037037033
Angola,348,119,34.195402298850574
Anguilla,59,3,5.084745762711865
Antigua and Barbuda,193,61,31.606217616580313
Arameans Suryoye,10,5,50.0
Argentina,979,526,53.72829417773238
Armenia,208,51,24.519230769230766
Artsakh,11,6,54.54545454545454
Aruba,118,21,17.796610169491526
Asturias,1,1,100.0
Australia,513,253,49.317738791423
Austria,776,322,41.49484536082475
Azerbaijan,243,47,19.34156378600823
Bahamas,34,10,29.411764705882355
Bahrain,473,157,33.192389006342495
Bangladesh,202,49,24.257425742574256
Barawa,12,3,25.0
Barbados,259,87,33.59073359073359
Basque Country,57,37,64.91228070175438
Belarus,248,76,30.64516129032258
Belgium,766,331,43.21148825065274
Belize,77,17,22.07792207792208
Benin,258,58,22.48062015503876
Bermuda,151,54,35.76158940397351
Bhutan,79,7,8.860759493670885
Bolivia,458,101,22.05240174672489
Bonaire,20,7,35.0
Bosnia and Herzegovina,218,87,39.908256880733944
Botswana,275,75,27.27272727272727
Brazil,981,625,63.71049949031601
British Virgin Islands,90,16,17.77777777777778
Brittany,12,6,50.0
Brunei,71,9,12.676056338028168
Bulgaria,669,249,37.219730941704036
Burkina Faso,386,122,31.606217616580313
Burma,341,151,44.28152492668622
Burundi,184,58,31.521739130434785
Cambodia,217,46,21.19815668202765
Cameroon,532,231,43.42105263157895
Canada,377,132,35.0132625994695
Canary Islands,4,3,75.0
Cape Verde,164,58,35.36585365853659
Cascadia,7,4,57.14285714285714
Catalonia,47,18,38.297872340425535
Cayman Islands,89,18,20.224719101123593
Central African Republic,94,19,20.212765957446805
Central Spain,2,1,50.0
Chad,111,25,22.52252252252252
Chagos Islands,11,1,9.090909090909092
Chameria,5,2,40.0
Chile,760,290,38.15789473684211
China PR,589,284,48.217317487266556
Chinese Taipei,144,38,26.38888888888889
Colombia,548,212,38.68613138686132
Comoros,56,8,14.285714285714285
Congo,373,128,34.316353887399465
Cook Islands,43,9,20.930232558139537
Corsica,9,4,44.44444444444444
Costa Rica,601,256,42.59567387687188
County of Nice,9,6,66.66666666666666
Crimea,5,3,60.0
